Company,Domain,ESG Link
Walmart, https://walmart.com, https://corporate.walmart.com/esgreport/
Amazon, www.amazon.com, https://sustainability.aboutamazon.com/
Apple, www.apple.com, https://investor.apple.com/esg/default.aspx
CVS Health, https://www.cvshealth.com, https://www.cvshealth.com/impact/esg-reports.html
UnitedHealth Group, www.unitedhealthgroup.com, https://sustainability.uhg.com/
Exxon Mobil, www.exxonmobil.com, https://investor.exxonmobil.com/esg
Berkshire Hathaway, www.berkshirehathaway.com, https://www.berkshirehathaway.com/sustainability/sustainability.html
Alphabet, https://www.abc.xyz, http://abc.xyz/investor/esg
McKesson, www.mckesson.com, https://www.mckesson.com/About-McKesson/Impact/
AmerisourceBergen, www.amerisourcebergen.com, https://investor.amerisourcebergen.com/governance/esg/default.aspx
Costco Wholesale, www.costco.com, https://www.costco.com/sustainability-governance-reporting.html
Cigna, https://www.cigna.com, https://www.cigna.com/about-us/corporate-responsibility/environmental-policy-statement
AT&T, www.att.com, https://sustainability.att.com/
Microsoft, www.microsoft.com, https://www.microsoft.com/en-us/corporate-responsibility/sustainability
Cardinal Health, www.cardinalhealth.com, https://www.cardinalhealth.com/en/about-us/environmental-social-governance.html
Chevron, www.chevron.com, https://www.chevron.com/sustainability
Home Depot, www.homedepot.com, https://ir.homedepot.com/esg-investors
Walgreens Boots Alliance, www.walgreensbootsalliance.com, https://www.walgreensbootsalliance.com/environmental-social-governance
Marathon Petroleum, www.marathonpetroleum.com, https://www.marathonpetroleum.com/Sustainability/
Elevance Health, www.elevancehealth.com, https://www.elevancehealth.com/who-we-are/corporate-responsibility/environmental-sustainability
Kroger, www.thekrogerco.com ~~ kroger.com, https://www.thekrogerco.com/esgreport/
Ford Motor, www.ford.com, https://shareholder.ford.com/investors/esg/default.aspx
Verizon Communications, www.verizon.com, https://www.verizon.com/about/investors/esg-resources-hub
JPMorgan Chase, www.jpmorganchase.com, https://www.jpmorganchase.com/about/governance/esg
General Motors, www.gm.com, https://investor.gm.com/esg
Centene, www.centene.com, https://investors.centene.com/esg
Meta Platforms, https://www.meta.com/ ~~ https://investor.fb.com, https://investor.fb.com/esg-resources/default.aspx
Comcast, https://www.xfinity.com/ ~~ www.comcastcorporation.com, https://www.cmcsa.com/esg-reporting
Phillips 66, www.phillips66.com, https://www.phillips66.com/sustainability/esg-library/
Valero Energy, www.valero.com, https://investorvalero.com/esg/default.aspx
Dell Technologies, https://www.dell.com ~~ www.delltechnologies.com, https://www.dell.com/en-us/dt/corporate/social-impact.htm
Target, www.target.com, https://corporate.target.com/sustainability-ESG
Fannie Mae, www.fanniemae.com, https://www.fanniemae.com/about-us/esg
United Parcel Service, www.ups.com, https://investors.ups.com/sustainability
Lowe's, www.lowes.com, https://corporate.lowes.com/our-responsibilities/corporate-responsibility-reports-policies
Bank of America, www.bankofamerica.com, https://about.bankofamerica.com/en/making-an-impact/esg-reports
Johnson & Johnson, www.jnj.com, https://www.jnj.com/esg-resources
Archer Daniels Midland, www.adm.com, https://investors.adm.com/sustainability/default.aspx
FedEx, www.fedex.com, https://investors.fedex.com/esg/default.aspx
Humana, www.humana.com, https://www.humana.com/about/impact
Wells Fargo, www.wellsfargo.com, https://www.wellsfargo.com/about/corporate-responsibility/
State Farm Insurance, www.statefarm.com, https://esg.statefarm.com/
Pfizer, www.pfizer.com, https://www.pfizer.com/about/responsibility/environmental-sustainability
Citigroup, https://www.citi.com ~~ www.citigroup.com, https://www.citigroup.com/global/investors/esg-for-investors
PepsiCo, https://www.pepsi.com ~~ www.pepsico.com, https://www.pepsico.com/our-impact/sustainability/esg-summary
Intel, www.intel.com, https://www.intc.com/esg
Procter & Gamble, www.pg.com, https://www.pginvestor.com/esg/esg-overview/
General Electric, www.ge.com, https://www.ge.com/sustainability
IBM, https://www.ibm.com, https://www.ibm.com/investor/governance
MetLife, www.metlife.com, https://www.metlife.com/sustainability/
Prudential Financial, www.prudential.com, https://www.prudentialesg.com/sustainability/default.aspx
Albertsons, https://www.albertsons.com/ ~~ www.albertsonscompanies.com, https://www.albertsonscompanies.com/our-impact/esg-reports-news/default.aspx
Walt Disney, https://disney.com ~~ www.thewaltdisneycompany.com, https://impact.disney.com/esg-reporting/
Energy Transfer, www.energytransfer.com, https://www.energytransfer.com/corporate-responsibility/
Lockheed Martin, www.lockheedmartin.com, https://sustainability.lockheedmartin.com/sustainability/esg-portal/
Freddie Mac, www.freddiemac.com, https://www.freddiemac.com/about/esg
Goldman Sachs Group, www.goldmansachs.com, https://www.goldmansachs.com/investor-relations/corporate-governance/sustainability-reporting/
Raytheon Technologies, www.rtx.com, https://www.rtx.com/our-responsibility/our-esg-strategy
HP, www.hp.com, https://www.hp.com/us-en/sustainable-impact.html
Boeing, www.boeing.com, https://www.boeing.com/principles/sustainability/index.page
Morgan Stanley, www.morganstanley.com, https://www.morganstanley.com/about-us/corp-sustainability/
HCA Healthcare, www.hcahealthcare.com, https://www.hcahealthcareimpact.com/community/sustainability-initiatives/
AbbVie, www.abbvie.com, https://www.abbvie.com/sustainability/environmental-social-and-governance.html
Dow, www.dow.com, https://investors.dow.com/en/esg-resources/default.aspx
Tesla, www.tesla.com, https://www.tesla.com/impact
Allstate, www.allstate.com, https://www.allstatesustainability.com/
American International Group, www.aig.com, https://www.aig.com/home/about#
Best Buy, https://bestbuy.com ~~ www.investors.bestbuy.com, https://corporate.bestbuy.com/sustainability/
Charter Communications, www.charter.com, https://corporate.charter.com/esg-report
Sysco, www.sysco.com, https://www.sysco.com/Sustainability/Corporate-Social-Responsibility.html
Merck, https://www.merck.com, https://www.merck.com/company-overview/esg/
New York Life Insurance, www.newyorklife.com, https://www.newyorklife.com/about/privacy/environmental-sustainability-policy-statement
Caterpillar, www.caterpillar.com, https://www.caterpillar.com/en/company/sustainability.html
Cisco, www.cisco.com, https://www.cisco.com/c/m/en_us/about/csr/esg-hub.html
TJX, www.tjx.com, https://www.tjx.com/responsibility/
Publix Super Markets, www.publix.com, https://corporate.publix.com/newsroom/category/environmental-social-and-governance
ConocoPhillips, www.conocophillips.com, https://www.conocophillips.com/sustainability/
Liberty Mutual Insurance Group, www.libertymutual.com, https://www.libertymutualgroup.com/about-lm/corporate-information/sustainability/corporate-sustainability
Progressive, www.progressive.com, https://investors.progressive.com/sustainability-reports/default.aspx
Nationwide, www.nationwide.com, https://www.nationwide.com/cps/corporate-sustainability/index.html
Tyson Foods, www.tysonfoods.com, https://www.tysonsustainability.com/
Bristol-Myers Squibb, www.bms.com, https://www.bms.com/about-us/sustainability.html
Nike, www.nike.com, https://www.nike.com/sustainability
Deere, www.deere.com, https://www.deere.com/en/our-company/sustainability/
American Express, www.americanexpress.com, https://www.americanexpress.com/en-us/company/corporate-sustainability/ESG/
Abbott Laboratories, www.abbott.com, https://www.abbott.com/responsibility/sustainability.html
StoneX Group, www.stonex.com, https://ir.stonex.com/corporate-governance
Plains GP Holdings, www.plains.com, https://www.plains.com/sustainability
Enterprise Products Partners, www.enterpriseproducts.com, https://www.enterpriseproducts.com/safety-sustainability/environmental-social-governance/
TIAA, www.tiaa.org, https://www.tiaa.org/public/about-tiaa/how-we-help/corporate-governance-accountability
Oracle, www.oracle.com, https://www.oracle.com/sustainability/
Thermo Fisher Scientific, https://www.thermofisher.com, https://corporate.thermofisher.com/content/tfcorpsite/us/en/index/corporate-social-responsibility.html
Coca-Cola, www.coca-colacompany.com, https://www.coca-colacompany.com/sustainability
General Dynamics, www.gd.com, https://www.gdit.com/about-gdit/sustainability/
CHS, www.chsinc.com, https://www.chsinc.com/about-chs/sustainability
USAA, www.usaa.com, https://www.usaa.com/inet/wc/about-usaa-environmental-commitment
Northwestern Mutual, www.northwesternmutual.com, https://www.northwesternmutual.com/who-we-are/sustainability-report/
Nucor, www.nucor.com, https://nucor.com/esg
Exelon, www.exeloncorp.com, https://investors.exeloncorp.com/esg
Massachusetts Mutual Life Insurance, www.massmutual.com, https://www.massmutual.com/sustainability
Northrop Grumman, www.northropgrumman.com, https://www.northropgrumman.com/corporate-responsibility/esg-reports/
3M, www.3m.com, https://www.3m.com/3M/en_US/sustainability-us/
Travelers, www.travelers.com, https://sustainability.travelers.com/
Arrow Electronics, www.arrow.com, https://www.arrow.com/company/purpose/environmental-social-governance
Honeywell International, www.honeywell.com, https://www.honeywell.com/us/en/company/esg-report
Dollar General, www.dollargeneral.com, https://www.dollargeneral.com/about-us/corporate-social-responsibility
Qualcomm, https://www.qualcomm.com, https://www.qualcomm.com/company/corporate-responsibility
Capital One Financial, www.capitalone.com, https://www.capitalone.com/about/our-commitments/
TD Synnex, www.tdsynnex.com, https://www.tdsynnex.com/us/en/about-us/corporate-citizenship.html
Philip Morris International, www.pmi.com, https://www.pmi.com/sustainability
World Fuel Services, www.wfscorp.com, https://www.wfscorp.com/our-sustainability-approach/our-esg-strategy
Performance Food Group, www.pfgc.com, https://www.pfgc.com/Corporate-Responsibility
Delta Air Lines, www.delta.com, https://www.delta.com/us/en/about-delta/sustainability
American Airlines Group, www.aa.com, https://news.aa.com/esg/
Netflix, www.netflix.com, https://ir.netflix.net/governance/ESG/default.aspx
Paramount Global, www.paramount.com, https://www.paramount.com/sustainability
US Food Holdings, https://usfoods.com, https://www.usfoods.com/about-us-foods/corporate-social-responsibility.html
Danaher, https://www.danaher.com, https://www.danaher.com/sustainability
Jabil, www.jabil.com, https://investors.jabil.com/esg/sustainability-policy/default.aspx
Starbucks, www.starbucks.com, https://www.starbucks.com/responsibility/reporting-hub/
Mondelez International, www.mondelezinternational.com, https://www.mondelezinternational.com/Snacking-Made-Right/ESG-at-MDLZ
Eli Lilly, https://www.lilly.com, https://www.esg.lilly.com/
Hewlett Packard Enterprise, https://www.hpe.com, https://www.hpe.com/us/en/living-progress/report.html
D.R. Horton, https://www.drhorton.com, https://investor.drhorton.com/corporate-governance/esg-statement
Molina Healthcare, https://www.molinahealthcare.com, https://investors.molinahealthcare.com/corporate-governance/esg-reports-and-resources
CBRE Group, https://www.cbre.com, https://www.cbre.com/about-us/corporate-responsibility
Micron Technology, https://www.micron.com, https://www.micron.com/about/our-commitment/operating-thoughtfully/sustainability
Broadcom, https://www.broadcom.com, https://www.broadcom.com/company/citizenship
Gilead Sciences, https://www.gilead.com, https://www.gilead.com/purpose/esg
PBF Energy, https://www.pbfenergy.com, https://www.pbfenergy.com/esg/
Lennar, https://www.lennar.com, https://investors.lennar.com/corporate-governance/leadership
United Natural Foods, https://www.unfi.com, https://www.betterforall.unfi.com/
NRG Energy, https://www.nrg.com, https://www.nrg.com/sustainability/reporting.html
Nvidia, https://www.nvidia.com, https://www.nvidia.com/en-us/csr/
Occidental Petroleum, https://www.oxy.com, https://www.oxy.com/sustainability/
Salesforce, https://www.salesforce.com, https://www.salesforce.com/company/sustainability/
Dollar Tree, https://www.dollartree.com, https://corporate.dollartree.com/investors/esg
KKR, https://www.kkr.com, https://www.kkr.com/responsibility/citizenship
Kraft Heinz, https://www.kraftheinzcompany.com, https://www.kraftheinzcompany.com/esg/index.html
Amgen, https://www.amgen.com, https://www.amgen.com/responsibility
AutoNation, https://www.autonation.com, https://www.autonation.com/our-purpose/sustainability
Penske Automotive Group, https://www.penskeautomotive.com, https://www.penskeautomotive.com/esg/default.aspx
PayPal, https://www.paypal.com, https://investor.pypl.com/esg-strategy/default.aspx
Macy's, https://www.macys.com/, https://www.macysinc.com/purpose/sustainability/esg-resources-reports/default.aspx
Duke Energy, https://www.duke-energy.com, https://sustainablesolutions.duke-energy.com/about/esg/
United Airlines Holdings, https://www.united.com, https://www.united.com/ual/en/us/fly/company/global-citizenship/environment.html
Visa, https://www.visa.com, https://usa.visa.com/about-visa/esg.html
Rite Aid, https://www.riteaid.com, https://investors.riteaid.com/sustainability/default.aspx
Cummins, https://www.cummins.com, https://investor.cummins.com/board-esg
Paccar, https://www.paccar.com, https://www.paccar.com/about-us/environmental-social-and-governance/
McDonald's, https://www.mcdonalds.com/ ~~ https://www.investor.mcdonalds.com, https://corporate.mcdonalds.com/corpmcd/our-purpose-and-impact/impact-strategy-and-reporting/performance-reports.html
Southern, https://www.southerncompany.com, https://investor.southerncompany.com/esg/sustainability-esg/default.aspx
C.H. Robinson Worldwide, https://www.chrobinson.com, https://www.chrobinson.com/en-us/about-us/corporate-responsibility/esg/
Truist Financial, https://www.truist.com, https://ir.truist.com/corporate-social-responsibility
Applied Materials, https://www.appliedmaterials.com, https://www.appliedmaterials.com/us/en/corporate-responsibility.html
Freeport-McMoRan, https://www.fcx.com, https://www.fcx.com/sustainability
Lithia Motors, https://www.lithia.com/ ~~ https://www.lithiainvestorrelations.com, https://responsibility.lithiadriveway.com/
Blackstone, https://www.blackstone.com, https://www.blackstone.com/our-impact/an-integrated-approach-to-esg/
Hartford Financial Services Group, https://www.thehartford.com, https://www.thehartford.com/about-us/corporate-sustainability
Aflac, https://www.aflac.com, https://investors.aflac.com/Sustainability/default.aspx
Whirlpool, https://www.whirlpoolcorp.com, https://investors.whirlpoolcorp.com/why-invest/environmental-social-governance-overview/default.aspx
Union Pacific, https://www.up.com, https://www.up.com/aboutup/esg/index.htm
International Paper, https://www.internationalpaper.com, https://www.internationalpaper.com/sustainability
Altria Group, https://www.altria.com, https://www.altria.com/responsibility/
CDW, https://www.cdw.com, https://www.cdw.com/content/cdw/en/about/overview/esg.html.html
ManpowerGroup, https://www.manpowergroup.com, https://www.manpowergroup.co.uk/about-manpowergroup/environment-social-and-governance/
PG&E, https://pge.com ~~ https://www.pgecorp.com, https://www.pgecorp.com/corp/responsibility-sustainability/corporate-responsibility-sustainability.page
Carrier Global, https://carrier.com ~~ https://www.corporate.carrier.com, https://www.corporate.carrier.com/corporate-responsibility
Baker Hughes, https://www.bakerhughes.com, https://www.bakerhughes.com/company/corporate-responsibility
Cleveland-Cliffs, https://www.clevelandcliffs.com, https://www.clevelandcliffs.com/sustainability
United States Steel, https://www.ussteel.com, https://investors.ussteel.com/esg
Becton Dickinson, https://www.bd.com, https://investors.bd.com/esg/sustainability
CarMax, www.carmax.com, https://socialresponsibility.carmax.com/
Sherwin-Williams, https://www.sherwin-williams.com, https://investors.sherwin-williams.com/environmental-social-and-governance/default.aspx
Builders FirstSource, https://www.bldr.com, https://investors.bldr.com/ESG/
Marsh & McLennan, https://www.marshmclennan.com, https://www.marshmclennan.com/about/esg.html
PNC Financial Services Group, https://www.pnc.com, https://www.pnc.com/en/about-pnc/corporate-responsibility/corporate-social-responsibility.html
Lumen Technologies, https://www.lumen.com, https://ir.lumen.com/esg/default.aspx
Avnet, https://www.avnet.com, https://www.avnet.com/wps/portal/us/about-avnet/corporate-social-responsibility/overview/
Tenet Healthcare, https://www.tenethealth.com, https://www.tenethealth.com/about/environmental-sustainability
Kimberly-Clark, https://www.kimberly-clark.com, https://www.kimberly-clark.com/en-us/esg
Kohl's, https://www.kohls.com, https://investors.kohls.com/esg/overview/default.aspx
BlackRock, https://www.blackrock.com, https://www.blackrock.com/corporate/sustainability
Jones Lang LaSalle, https://www.jll.com, https://www.joneslanglasalle.com.cn/en/about-jll/our-sustainability-leadership
Lear, https://www.lear.com, https://www.lear.com/sustainability
Lincoln National, https://www.lfg.com, https://www.lincolnfinancial.com/public/aboutus/companyoverview/ourstrategy/corporateresponsibility
Charles Schwab, https://www.schwab.com/ ~~ https://www.aboutschwab.com, https://www.aboutschwab.com/environmental-stewardship
Ross Stores, https://www.rossstores.com, https://corp.rossstores.com/responsibility/
Mastercard, https://www.mastercard.com, https://www.mastercard.com/global/en/vision/corp-responsibility.html
Genuine Parts, https://www.genpt.com, https://www.genpt.com/sustainability
WestRock, https://www.westrock.com, https://www.westrock.com/sustainability
EOG Resources, https://www.eogresources.com, https://www.eogresources.com/sustainability/
Cognizant Technology Solutions, https://www.cognizant.com, https://www.cognizant.com/us/en/about-cognizant/esg
Moderna, https://www.modernatx.com, https://www.modernatx.com/responsibility/our-commitment
Steel Dynamics, https://www.steeldynamics.com, https://sustainability.steeldynamics.com/
HF Sinclair, https://www.hfsinclair.com, https://www.hfsinclair.com/sustainability/sustainability-report/default.aspx
Texas Instruments, https://www.ti.com, https://www.ti.com/about-ti/citizenship-community/overview/ESG.html
Emerson Electric, https://www.emerson.com, https://www.emerson.com/en-us/esg
WESCO International, https://www.wesco.com, https://www.wesco.com/us/en/our-company/environmental-social-and-governance.html
General Mills, https://www.generalmills.com, https://www.generalmills.com/how-we-make-it
Tenneco, https://www.tenneco.com, https://www.tenneco.com/sustainability
Waste Management, https://www.wm.com, https://sustainability.wm.com/esg-hub/governance/public-policy
Viatris, https://www.viatris.com, https://www.viatris.com/en/about-us/corporate-social-responsibility
DISH Network, https://www.dish.com, https://www.dish.com/dish-cares/
L3Harris Technologies, https://www.l3harris.com, https://www.l3harris.com/company/environmental-social-and-governance
DXC Technology, https://dxc.com/ ~~ https://www.dxc.technology, https://dxc.com/us/en/about-us/corporate-responsibility
Block, https://www.block.xyz, https://investors.block.xyz/governance/governance-documents/default.aspx
Goodyear Tire & Rubber, https://www.goodyear.com, https://corporate.goodyear.com/us/en/responsibility/esg.html
Uber Technologies, https://www.uber.com, https://www.uber.com/us/en/community/esg/
Colgate-Palmolive, https://www.colgatepalmolive.com, https://www.colgatepalmolive.com/en-us/sustainability
Stanley Black & Decker, https://www.stanleyblackanddecker.com, https://www.stanleyblackanddecker.com/impact
DuPont, https://www.dupont.com, https://www.dupont.com/about/sustainability.html
Stryker, https://www.stryker.com, https://www.stryker.com/us/en/about/corporate-responsibility/cr-hub.html
NextEra Energy, https://www.nexteraenergy.com, https://www.investor.nexteraenergy.com/sustainability/esg-resources
Targa Resources, https://www.targaresources.com, https://www.targaresources.com/sustainability
Western Digital, https://www.westerndigital.com, https://www.westerndigital.com/company/corporate-responsibility
PPG Industries, https://www.ppg.com, https://sustainability.ppg.com/
American Electric Power, https://www.aep.com, https://aepsustainability.com/performance/esg/
Gap, https://www.gapinc.com, https://www.gapinc.com/en-us/values/sustainability/esg-resources/
BJ's Wholesale Club, https://www.bjs.com, https://www.bjs.com/esg
Reinsurance Group of America, https://www.rgare.com, https://www.rgare.com/our-company/responsibility
Kinder Morgan, https://www.kindermorgan.com, https://www.kindermorgan.com/Safety-Environment/ESG
Oneok, https://www.oneok.com, https://www.oneok.com/sustainability
Expeditors Intl. of Washington, https://www.expeditors.com, https://www.expeditors.com/about-us/sustainability
Advanced Micro Devices, https://www.amd.com, https://www.amd.com/en/corporate/corporate-responsibility.html
Fiserv, https://www.fiserv.com, https://www.fiserv.com/en/about-fiserv/corporate-social-responsibility.html
Estee Lauder, https://www.elcompanies.com, https://www.elcompanies.com/en/our-commitments
Bank of New York Mellon, https://www.bnymellon.com, https://www.bnymellon.com/us/en/about-us/esg-and-responsible-investment.html
Laboratory Corp. of America, https://www.labcorp.com, https://www.labcorp.com/about/our-impact/esg
Regeneron Pharmaceuticals, https://www.regeneron.com, https://www.regeneron.com/responsibility
Land O'Lakes, https://www.landolakesinc.com, https://www.landolakesinc.com/Corporate-Responsibility
Cheniere Energy, https://www.cheniere.com, https://www.cheniere.com/our-responsibility
Southwest Airlines, https://www.southwest.com, https://www.southwest.com/citizenship/
Adobe, https://www.adobe.com, https://www.adobe.com/corporate-responsibility/sustainability.html
Synchrony Financial, https://www.synchrony.com/ ~~ https://www.synchronyfinancial.com, https://investors.synchrony.com/corporate-governance
Corteva, https://www.corteva.com, https://www.corteva.com/sustainability.html
Fidelity National Financial, https://www.fnf.com, https://www.fnf.com/sustainability
DTE Energy, https://www.dteenergy.com, https://empoweringmichigan.com/dte-impact/performance/?_ga=2.89031707.1864535749.1690572239-1825994016.1690572239&_gl=1*1aq149r*_ga*MTgyNTk5NDAxNi4xNjkwNTcyMjM5*_ga_J2R5W9DWE4*MTY5MDU3MjIzOS4xLjAuMTY5MDU3MjI0NS4wLjAuMA..
Murphy USA, https://www.murphyusa.com, https://ir.corporate.murphyusa.com/investor-relations/esg-summary/default.aspx
Halliburton, https://www.halliburton.com, https://www.halliburton.com/en/sustainability
Automatic Data Processing, https://www.adp.com, https://sustainability.adp.com/
Edison International, https://www.edisoninvestor.com, https://www.edison.com/sustainability/esg
BorgWarner, https://www.borgwarner.com, https://www.borgwarner.com/company/sustainability
Nordstrom, https://www.nordstrom.com, https://press.nordstrom.com/nordstrom-cares
Loews, https://www.loews.com, https://loews.com/Sustainability
Guardian Life Ins. Co. of America, https://www.guardianlife.com, https://www.guardianlife.com/social-responsibility
Pioneer Natural Resources, https://www.pxd.com, https://www.pxd.com/sustainability
AutoZone, https://www.autozone.com, https://about.autozone.com/about-autozone/esg
Lam Research, https://www.lamresearch.com, https://www.lamresearch.com/company/environmental-social-governance/
American Family Insurance Group, https://www.amfam.com/, https://www.amfam.com/about/corporate-responsibility
